1	2212.66 €
2	2212.26 €
3	1577.96 €
4	1142.57 €
5	840.19 €
6	627.60 €
7 à 8	476.34 €
9 à 10	367.44 €
11 à 12	288.14 €
13 à 14	229.77 €
15 à 16	186.37 €
17 à 18	153.81 €
19 à 24	129.19 €
25 à 30	110.48 €
31 à 36	96.22 €
37 à 48	85.38 €
49 à 60	77.20 €
61 à 72	71.18 €
73 à 96	66.93 €
97 à 120	64.21 €
121 à 160	62.88 €
