1	442.53 €
2	442.15 €
3	315.59 €
4	228.51 €
5	168.04 €
6	125.52 €
7 à 8	95.27 €
9 à 10	73.49 €
11 à 12	57.63 €
13 à 14	45.95 €
15 à 16	37.27 €
17 à 18	30.76 €
19 à 24	25.84 €
25 à 30	22.10 €
31 à 36	19.24 €
37 à 48	17.08 €
49 à 60	15.44 €
61 à 72	14.24 €
73 à 96	13.39 €
97 à 120	12.84 €
121 à 160	12.58 €
